Search_method Problem Max_evals Run Score
njc knapPI_13_20_1000_4 10000 19 0
njc knapPI_13_20_1000_4 10000 20 0
njc knapPI_13_20_1000_4 10000 21 0
njc knapPI_13_20_1000_4 10000 22 0
njc knapPI_13_20_1000_4 10000 23 907
njc knapPI_13_20_1000_4 10000 24 0
njc knapPI_13_20_1000_4 10000 25 0
njc knapPI_13_20_1000_4 10000 26 0
njc knapPI_13_20_1000_4 10000 27 0
njc knapPI_13_20_1000_4 10000 28 0
njc knapPI_13_20_1000_4 10000 29 0
njc knapPI_16_20_1000_4 10000 0 0
njc knapPI_16_20_1000_4 10000 1 0
njc knapPI_16_20_1000_4 10000 2 0
njc knapPI_16_20_1000_4 10000 3 0
njc knapPI_16_20_1000_4 10000 4 0
njc knapPI_16_20_1000_4 10000 5 0
njc knapPI_16_20_1000_4 10000 6 0
njc knapPI_16_20_1000_4 10000 7 0
njc knapPI_16_20_1000_4 10000 8 0
njc knapPI_16_20_1000_4 10000 9 0
njc knapPI_16_20_1000_4 10000 10 0
njc knapPI_16_20_1000_4 10000 11 0
njc knapPI_16_20_1000_4 10000 12 2682
njc knapPI_16_20_1000_4 10000 13 0
njc knapPI_16_20_1000_4 10000 14 0
njc knapPI_16_20_1000_4 10000 15 0
njc knapPI_16_20_1000_4 10000 16 0
njc knapPI_16_20_1000_4 10000 17 0
njc knapPI_16_20_1000_4 10000 18 0
njc knapPI_16_20_1000_4 10000 19 0
njc knapPI_16_20_1000_4 10000 20 0
njc knapPI_16_20_1000_4 10000 21 2893
njc knapPI_16_20_1000_4 10000 22 0
njc knapPI_16_20_1000_4 10000 23 0
njc knapPI_16_20_1000_4 10000 24 0
njc knapPI_16_20_1000_4 10000 25 0
njc knapPI_16_20_1000_4 10000 26 0
njc knapPI_16_20_1000_4 10000 27 0
njc knapPI_16_20_1000_4 10000 28 0
njc knapPI_16_20_1000_4 10000 29 0
njc knapPI_11_200_1000_4 10000 0 0
njc knapPI_11_200_1000_4 10000 1 0
njc knapPI_11_200_1000_4 10000 2 0
njc knapPI_11_200_1000_4 10000 3 0
njc knapPI_11_200_1000_4 10000 4 0
njc knapPI_11_200_1000_4 10000 5 0
njc knapPI_11_200_1000_4 10000 6 0
njc knapPI_11_200_1000_4 10000 7 0
njc knapPI_11_200_1000_4 10000 8 0
njc knapPI_11_200_1000_4 10000 9 0
njc knapPI_11_200_1000_4 10000 10 0
njc knapPI_11_200_1000_4 10000 11 0
njc knapPI_11_200_1000_4 10000 12 0
njc knapPI_11_200_1000_4 10000 13 0
njc knapPI_11_200_1000_4 10000 14 0
njc knapPI_11_200_1000_4 10000 15 0
njc knapPI_11_200_1000_4 10000 16 0
njc knapPI_11_200_1000_4 10000 17 0
njc knapPI_11_200_1000_4 10000 18 0
njc knapPI_11_200_1000_4 10000 19 0
njc knapPI_11_200_1000_4 10000 20 0
njc knapPI_11_200_1000_4 10000 21 0
njc knapPI_11_200_1000_4 10000 22 0
njc knapPI_11_200_1000_4 10000 23 0
njc knapPI_11_200_1000_4 10000 24 0
njc knapPI_11_200_1000_4 10000 25 0
njc knapPI_11_200_1000_4 10000 26 0
njc knapPI_11_200_1000_4 10000 27 0
njc knapPI_11_200_1000_4 10000 28 0
njc knapPI_11_200_1000_4 10000 29 0
njc knapPI_13_200_1000_4 10000 0 0
njc knapPI_13_200_1000_4 10000 1 0
njc knapPI_13_200_1000_4 10000 2 0
njc knapPI_13_200_1000_4 10000 3 0
njc knapPI_13_200_1000_4 10000 4 0
njc knapPI_13_200_1000_4 10000 5 0
njc knapPI_13_200_1000_4 10000 6 0
njc knapPI_13_200_1000_4 10000 7 0
njc knapPI_13_200_1000_4 10000 8 0
njc knapPI_13_200_1000_4 10000 9 0
njc knapPI_13_200_1000_4 10000 10 0
njc knapPI_13_200_1000_4 10000 11 0
njc knapPI_13_200_1000_4 10000 12 0
njc knapPI_13_200_1000_4 10000 13 0
njc knapPI_13_200_1000_4 10000 14 0
njc knapPI_13_200_1000_4 10000 15 0
njc knapPI_13_200_1000_4 10000 16 0
njc knapPI_13_200_1000_4 10000 17 0
njc knapPI_13_200_1000_4 10000 18 0
njc knapPI_13_200_1000_4 10000 19 0
njc knapPI_13_200_1000_4 10000 20 0
njc knapPI_13_200_1000_4 10000 21 0
njc knapPI_13_200_1000_4 10000 22 0
njc knapPI_13_200_1000_4 10000 23 0
njc knapPI_13_200_1000_4 10000 24 0
njc knapPI_13_200_1000_4 10000 25 0
njc knapPI_13_200_1000_4 10000 26 0
njc knapPI_13_200_1000_4 10000 27 0
njc knapPI_13_200_1000_4 10000 28 0
njc knapPI_13_200_1000_4 10000 29 0
njc knapPI_16_200_1000_4 10000 0 0
njc knapPI_16_200_1000_4 10000 1 0
njc knapPI_16_200_1000_4 10000 2 0
njc knapPI_16_200_1000_4 10000 3 0
njc knapPI_16_200_1000_4 10000 4 0
njc knapPI_16_200_1000_4 10000 5 0
njc knapPI_16_200_1000_4 10000 6 0
njc knapPI_16_200_1000_4 10000 7 0
njc knapPI_16_200_1000_4 10000 8 0
njc knapPI_16_200_1000_4 10000 9 0
njc knapPI_16_200_1000_4 10000 10 0
njc knapPI_16_200_1000_4 10000 11 0
njc knapPI_16_200_1000_4 10000 12 0
njc knapPI_16_200_1000_4 10000 13 0
njc knapPI_16_200_1000_4 10000 14 0
njc knapPI_16_200_1000_4 10000 15 0
njc knapPI_16_200_1000_4 10000 16 0
njc knapPI_16_200_1000_4 10000 17 0
njc knapPI_16_200_1000_4 10000 18 0
njc knapPI_16_200_1000_4 10000 19 0
njc knapPI_16_200_1000_4 10000 20 0
njc knapPI_16_200_1000_4 10000 21 0
njc knapPI_16_200_1000_4 10000 22 0
njc knapPI_16_200_1000_4 10000 23 0
njc knapPI_16_200_1000_4 10000 24 0
njc knapPI_16_200_1000_4 10000 25 0
njc knapPI_16_200_1000_4 10000 26 0
njc knapPI_16_200_1000_4 10000 27 0
njc knapPI_16_200_1000_4 10000 28 0
njc knapPI_16_200_1000_4 10000 29 0
jp knapPI_11_20_1000_4 10000 0 1440
jp knapPI_11_20_1000_4 10000 1 1400
jp knapPI_11_20_1000_4 10000 2 1400
jp knapPI_11_20_1000_4 10000 3 1440
jp knapPI_11_20_1000_4 10000 4 1400
jp knapPI_11_20_1000_4 10000 5 1440
jp knapPI_11_20_1000_4 10000 6 1440
jp knapPI_11_20_1000_4 10000 7 1400
jp knapPI_11_20_1000_4 10000 8 1440
jp knapPI_11_20_1000_4 10000 9 1440
jp knapPI_11_20_1000_4 10000 10 1400
jp knapPI_11_20_1000_4 10000 11 1440
jp knapPI_11_20_1000_4 10000 12 1440
jp knapPI_11_20_1000_4 10000 13 1440
jp knapPI_11_20_1000_4 10000 14 1440
jp knapPI_11_20_1000_4 10000 15 1400
jp knapPI_11_20_1000_4 10000 16 1440
jp knapPI_11_20_1000_4 10000 17 1440
jp knapPI_11_20_1000_4 10000 18 1440
jp knapPI_11_20_1000_4 10000 19 1400
jp knapPI_11_20_1000_4 10000 20 1440
jp knapPI_11_20_1000_4 10000 21 1400
jp knapPI_11_20_1000_4 10000 22 1440
jp knapPI_11_20_1000_4 10000 23 1400
jp knapPI_11_20_1000_4 10000 24 1400
jp knapPI_11_20_1000_4 10000 25 1400
jp knapPI_11_20_1000_4 10000 26 1440
jp knapPI_11_20_1000_4 10000 27 1400
jp knapPI_11_20_1000_4 10000 28 1400
jp knapPI_11_20_1000_4 10000 29 1440
jp knapPI_13_20_1000_4 10000 0 907
jp knapPI_13_20_1000_4 10000 1 907
jp knapPI_13_20_1000_4 10000 2 907
jp knapPI_13_20_1000_4 10000 3 907
jp knapPI_13_20_1000_4 10000 4 907
jp knapPI_13_20_1000_4 10000 5 907
jp knapPI_13_20_1000_4 10000 6 907
jp knapPI_13_20_1000_4 10000 7 907
jp knapPI_13_20_1000_4 10000 8 907
jp knapPI_13_20_1000_4 10000 9 907
jp knapPI_13_20_1000_4 10000 10 907
jp knapPI_13_20_1000_4 10000 11 907
jp knapPI_13_20_1000_4 10000 12 907
jp knapPI_13_20_1000_4 10000 13 907
jp knapPI_13_20_1000_4 10000 14 907
jp knapPI_13_20_1000_4 10000 15 907
jp knapPI_13_20_1000_4 10000 16 907
jp knapPI_13_20_1000_4 10000 17 907
jp knapPI_13_20_1000_4 10000 18 907
jp knapPI_13_20_1000_4 10000 19 907
jp knapPI_13_20_1000_4 10000 20 907
jp knapPI_13_20_1000_4 10000 21 907
jp knapPI_13_20_1000_4 10000 22 907
jp knapPI_13_20_1000_4 10000 23 907
jp knapPI_13_20_1000_4 10000 24 907
jp knapPI_13_20_1000_4 10000 25 907
jp knapPI_13_20_1000_4 10000 26 907
jp knapPI_13_20_1000_4 10000 27 907
jp knapPI_13_20_1000_4 10000 28 907
jp knapPI_13_20_1000_4 10000 29 907
jp knapPI_16_20_1000_4 10000 0 2893
jp knapPI_16_20_1000_4 10000 1 2893
jp knapPI_16_20_1000_4 10000 2 2893
jp knapPI_16_20_1000_4 10000 3 2893
jp knapPI_16_20_1000_4 10000 4 2893
jp knapPI_16_20_1000_4 10000 5 2893
jp knapPI_16_20_1000_4 10000 6 2893
jp knapPI_16_20_1000_4 10000 7 2893
jp knapPI_16_20_1000_4 10000 8 2893
jp knapPI_16_20_1000_4 10000 9 2893
jp knapPI_16_20_1000_4 10000 10 2893
jp knapPI_16_20_1000_4 10000 11 2893
jp knapPI_16_20_1000_4 10000 12 2893
jp knapPI_16_20_1000_4 10000 13 2893
jp knapPI_16_20_1000_4 10000 14 2893
jp knapPI_16_20_1000_4 10000 15 2893
jp knapPI_16_20_1000_4 10000 16 2893
jp knapPI_16_20_1000_4 10000 17 2893
jp knapPI_16_20_1000_4 10000 18 2893
jp knapPI_16_20_1000_4 10000 19 2893
jp knapPI_16_20_1000_4 10000 20 2893
jp knapPI_16_20_1000_4 10000 21 2893
jp knapPI_16_20_1000_4 10000 22 2893
jp knapPI_16_20_1000_4 10000 23 2893
jp knapPI_16_20_1000_4 10000 24 2893
jp knapPI_16_20_1000_4 10000 25 2893
jp knapPI_16_20_1000_4 10000 26 2893
jp knapPI_16_20_1000_4 10000 27 2893
jp knapPI_16_20_1000_4 10000 28 2893
jp knapPI_16_20_1000_4 10000 29 2893
jp knapPI_11_200_1000_4 10000 0 5020
jp knapPI_11_200_1000_4 10000 1 4980
jp knapPI_11_200_1000_4 10000 2 4940
jp knapPI_11_200_1000_4 10000 3 4940
jp knapPI_11_200_1000_4 10000 4 5020
jp knapPI_11_200_1000_4 10000 5 5100
jp knapPI_11_200_1000_4 10000 6 4980
jp knapPI_11_200_1000_4 10000 7 4940
jp knapPI_11_200_1000_4 10000 8 4860
jp knapPI_11_200_1000_4 10000 9 4980
jp knapPI_11_200_1000_4 10000 10 5020
jp knapPI_11_200_1000_4 10000 11 4940
jp knapPI_11_200_1000_4 10000 12 5020
jp knapPI_11_200_1000_4 10000 13 5140
jp knapPI_11_200_1000_4 10000 14 5060
jp knapPI_11_200_1000_4 10000 15 4740
jp knapPI_11_200_1000_4 10000 16 5060
jp knapPI_11_200_1000_4 10000 17 5020
jp knapPI_11_200_1000_4 10000 18 5020
jp knapPI_11_200_1000_4 10000 19 5060
jp knapPI_11_200_1000_4 10000 20 4820
jp knapPI_11_200_1000_4 10000 21 4980
jp knapPI_11_200_1000_4 10000 22 4780
jp knapPI_11_200_1000_4 10000 23 5100
jp knapPI_11_200_1000_4 10000 24 4740
jp knapPI_11_200_1000_4 10000 25 5020
jp knapPI_11_200_1000_4 10000 26 5060
jp knapPI_11_200_1000_4 10000 27 4940
jp knapPI_11_200_1000_4 10000 28 4940
jp knapPI_11_200_1000_4 10000 29 4900
jp knapPI_13_200_1000_4 10000 0 3637
